,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
0,1001,ENJA,Jan Mayen ,Arctic,ENJA,JAN MAYEN,,NO,9,70.93,N,8.67,W
1,1004,ENAS,Ny-Alesund Ii ,Arctic,ENAS,NY-ALESUND II,,NO,8,78.92,N,11.93,E
2,1241,ENOL,Orland ,Arctic,ENOL,ORLAND III (NOR-AF,,NO,7,63.7,N,9.6,E
3,1400,,Ekofisk,Arctic,ENEK,EKOFISK,,NO,46,56.53,N,3.22,E
4,3005,,Lerwick,Arctic,,LERWICK/SHETLAND I,,UK,84,60.13,N,1.18,W
5,4018,BIKF,Keflavikurflugvollur ,Arctic,BIKF,KEFLAVIK,,IL,52,63.97,N,22.6,W
6,4089,BIEG,Egilsstadir ,Arctic,BIEG,EGILSSTADIR,,IL,23,65.17,N,14.4,W
7,4220,BGEM,Aasiaat (Egedesminde) ,Arctic,BGEM,EGEDESMINDE/AUSIAT,,GL,41,68.7,N,52.85,W
8,4270,BGBW,Narsarsuaq ,Arctic,BGBW,NARSARSSUAK,,GL,26,61.18,N,45.42,W
9,4320,BGDH,Danmarkshavn ,Arctic,BGDH,DANMARKSHAVN (PORT,,GL,12,76.77,N,18.67,W
10,4339,BGSC,Ittoqqortoormiit ,Arctic,BGSC,SCORESBYSUND,,GL,69,70.48,N,21.95,W
11,10035,,Schleswig,Arctic,,SCHLESWIG,,DL,48,54.53,N,9.55,E
12,10113,,Norderney,Arctic,,NORDERNEY,,DL,11,53.71,N,7.15,E
13,10184,,Greifswald,Arctic,,GREIFSWALD,,DL,6,54.1,N,13.4,E
14,10393,,Lindenberg,Arctic,,LINDENBERG,,DL,112,52.22,N,14.12,E
15,12120,,Leba,Arctic,,LEBA,,PL,2,54.75,N,17.53,E
16,12374,,Legionowo,Arctic,,LEGIONOWO,,PL,96,52.4,N,20.97,E
17,20046,,"Polargmo Im. Krenkelja, DK",Arctic,,OSTROV KHEISA,DK,RA,20,80.62,N,58.05,E
18,20292,,"Gmo Im.E.K. Fedorova, DK",Arctic,,CAPE CELJUSKIN,DK,RA,13,77.72,N,104.3,E
19,20674,,"Ostrov Dikson, DK",Arctic,,DIKSON ISLAND,DK,RA,47,73.53,N,80.4,E
20,20744,,"Malye Karmakuly, DK",Arctic,,MALYE KARMAKULY,DK,RA,16,72.38,N,52.73,E
21,21432,,"Ostrov Kotelnyj, DK",Arctic,,KOTEL'NYJ ISLAND,TK,RA,10,76.0,N,137.9,E
22,21946,,"Chokurdah, TK",Arctic,,COKURDAH,TK,RA,61,70.62,N,147.9,E
23,22008,,Murmansk,Arctic,ULMM,MURMANSK,AR,RS,121,68.98,N,33.12,E
24,22217,,"Kandalaksa, AR",Arctic,,KANDALAKSA,AR,RS,26,67.15,N,32.35,E
25,22271,,"Sojna, AR",Arctic,,SOJNA,AR,RS,16,67.88,N,44.13,E
26,22522,,"Kem, LE",Arctic,,KEM (PORT),LE,RS,10,64.98,N,34.8,E
27,22543,,"Arhangelsk, AR",Arctic,,ARCHANGEL'SK,AR,RS,6,64.62,N,40.51,E
28,22820,,"Petrozavodsk, LE",Arctic,,PETROZAVODSK,LE,RS,112,61.82,N,34.27,E
29,22845,,"Kargopol, AR",Arctic,,KARGOPOL',AR,RS,121,61.5,N,38.93,E
30,23078,,Norilsk,Arctic,,NORILSK,DK,RA,62,69.33,N,88.1,E
31,23205,,"Narjan-Mar, AR",Arctic,,NAR'JAN-MAR,AR,RA,7,67.65,N,53.02,E
32,23330,,"Salehard, NO",Arctic,,SALEHARD,NO,RA,16,66.53,N,66.53,E
33,23415,,"Pechora, AR",Arctic,,PECHORA,AR,RA,56,65.12,N,57.1,E
34,23802,,"Syktyvkar, AR",Arctic,UUYY,SYKTYVKAR',AR,RA,116,61.68,N,50.78,E
35,23884,,"Bor, NO",Arctic,,BOR,NO,RA,63,61.6,N,90.0,E
